Assinale a alternativa em que o hífen tenha sido utilizado em conformidade com a gramática normativa.,Auto-escola.,Supra-renal.,Sub-hepático.,Extra-oficial.,,C,
"Leia a seguir.  “O inquérito foi concluído pela Polícia Civil e entregue ao Ministério Público do estado.”  Transpondo para a voz ativa, os verbos serão, respectivamente:",concluísse / entregasse.,concluirá / entregará.,concluir / entregar.,concluiu / entregou.,,D,
"Leia a seguir. “Então, ______________ investimentos para reduzir o período de tempo nas investigações.”  Assinale a alternativa em que o termo preenche adequadamente a lacuna de acordo com as regras de concordância verbal.",deve haver,deve existir,existe,devem haver,,A,
"Neste trecho: “Eles foram __ compras antes do comércio abrir, isto é, desde __ 4h30 da manhã.”, marque a opção em que os termos preenchem as lacunas corretamente e na ordem em que se apresentam.",as / as,as / às,às / as,às / às,,C,
Marque a opção em que o encontro vocálico entre parênteses corresponda ao respectivo vocábulo.,Pai (Hiato).,Poesia (Ditongos).,Joelho (Ditongo).,Meu (Ditongo).,,D,
"Observe a seguinte imagem.  Analisando os diálogos dessa imagem, notamos que um dos personagens faz uso equivocado dos pronomes oblíquos átonos, enquanto é corrigido pelo outro personagem. Desse modo, assinale a alternativa em que o pronome tenha sido empregado, segundo a norma-padrão da língua.",Não diga-me isso de novo.,Alguém lhe dirá uma coisa.,Desculparia-te se tu tiveste cometido um erro.,Agora dane-se.,,B,consesp-prova1-q21.png
"Em: “Brincavam despreocupadas as crianças.”, concluímos que há, nessa oração, sujeito:",determinado elíptico.,determinado simples.,indeterminado.,inexistente.,,B,
Assinale a alternativa em que a frase apresente Predicado Nominal.,Os maus candidatos perderam muitos eleitores.,Conversamos muito com os jornalistas.,"Por causa das manifestações, as ruas permanecem agitadas.",Ele chegou alegre como sempre.,,C,
Assinale a alternativa em que todas as palavras estão grafadas corretamente de acordo com o padrão culto da Língua Portuguesa.,Obsessão / Sucinto.,Espectativa / Espontâneo.,Explêndido / Hêsito.,Estravasar / Estorno.,,A,
"Neste trecho: “Um negócio totalmente DESmiolado.”, o prefixo destacado expressa",negação.,duplicidade.,semelhança.,ação contrária.,,D,
"Neste trecho: “A demora DO ÔNIBUS é muito grande, passamos horas esperando.”, o termo destacado é",adjunto adverbial.,predicativo do sujeito.,complemento nominal.,adjunto adnominal.,,C,
"Observe atentamente a figura seguinte.  No trecho: “Proibido barulho sonoro.”, podemos notar a presença de um Vício de Linguagem. Aponte-o.",Ambiguidade.,Eco.,Cacofonia.,Pleonasmo vicioso.,,D,consesp-prova1-q27.png
"Em: “Jovem furta bicicleta, PORÉM policial flagra o crime e o impede de fugir.”, a expressão em destaque pode ser substituída, sem que o trecho perca o seu sentido, por:",mas.,ou.,portanto.,pois.,,A,
"Em: EMBORA venha sendo vinculado a alguns clubes europeus, o defensor ainda se recupera de uma cirurgia.”, o termo em destaque pode ser substituído, sem que o trecho perca o seu sentido, por:",a fim de que.,mesmo que.,ao passo que.,tanto quanto.,,B,
"Leia o seguinte trecho.  “Sobre o ataque da Venezuela, ofereceram cinquenta milhões de dólares aos autores do ataque.”  O verbo da frase é",transitivo indireto.,transitivo direto.,intransitivo.,bitransitivo.,,D,
