"Marque a alternativa em que o verbo ""vir"" encontra-se no futuro do pretérito.",O mendaz advogado vem chegando.,Márcio virá para o aniversário de papai.,"Embora o pagamento esteja pendente, se o devedor vier negociar poderá conseguir um desconto.",O resultado viria se ela se esforçasse um pouco mais.,,D
"Com relação à separação silábica, aponte a alternativa correta.",EX-CLUIR / HI-DRE-LÉ-TRI-CA / RI-TMO.,ADJE-TI-VO / E-CLI-PSE / BA-LE-IA.,VO-LU-PTU-O-SO / PREEN-CHER / TE-A-TRO.,FU-I-NHA / FÚC-SIA / CZAR.,,D
"De acordo com as regras da língua culta, aponte a alternativa em que o hífen está empregado corretamente.",Bem-me-quer / Sub-humano / Além-túmulo.,Mal-fadado / Jacaré-açu / Socó-mirim.,Mal-educado / Sempre-viva / Neuro-muscular.,Mal-humorado / Semi-bárbaro / Pré-nupcial.,,A
"Nas palavras “gratuito / podia / quadra / meeiro / Uruguai” há, respectivamente,",ditongo crescente / hiato / ditongo decrescente / tritongo / hiato.,ditongo decrescente / ditongo crescente / tritongo / tritongo / hiato.,ditongo decrescente / hiato / ditongo crescente / hiato / tritongo.,hiato / ditong,,C
"Analise as frases abaixo e aponte, considerando a morfologia, em qual delas a palavra “um” é numeral.","Viajei com ""um"" engenheiro para Minas.","""Um"" homem só é feliz quando encontra o amor.","Tenho esperança de que ""um"" dia o mundo será melhor.","Mariana mora no apartamento ""um"".",,D
"Marque a alternativa que encerra, na parte destacada, locução pronominal indefinida.",QUANTAS pessoas almejam o poder?,"“Certa manhã, SUA Majestade o rei Marcos I acordou ao som de tiros.” (Ofélia e Narbal Fontes)",“CADA QUAL tem o ar que Deus lhe deu.” (Machado de Assis).,Maria acredita em TUDO o que FULANO defende.,,C
Assinale a alternativa em que a divisão silábica está correta.,U-RU-GUA-IA-NA / QUE-I-JO / AF-TA / MAG-NÓ-LIA.,IN-TE-RUR-BA-NO / SA-A-RA / GAI-O-LA / RÉGUAS.,BI-SA-VÓ / SO-CI-E-DA-DE / IS-RAEL / DU-E-LO.,ZOO-LÓ-GI-CO / COE-LHO / EX-CE-ÇÃO / SU-BLOCAR.,,B
"Dentre as alternativas abaixo, assinale qual contém todas as palavras grafadas corretamente.",Nascer / Plebiscito / Recessivo / Miscelânea,Excesso / Florescer / Aceço / Sargeta. ,Hesitar / Lucides / Xadrez / Vizinho. ,Pretensão / Mássico / Magestade / Pegajento.,,A
Aponte a alternativa que apresenta erro de pontuação.,"Se tudo correr bem, iremos a Madri ano que vem.","Como isso pôde acontecer, ninguém sabe.","Embora estivesse, muito cansado, compareci, à reunião.","Que venham todos, é preciso: estou muito doente!",,C
"Com relação à flexão dos substantivos, marque a alternativa incorreta quanto ao gênero.",Tecelão > Teceloa.,Píton > Pitonisa.,Deus > Deusa.,Arcebispo > Arcebispa.,,D
